ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"305278",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Zaklopac,Gračac
"305260",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Tiškovac,Gračac
"305235",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Srb,Gračac
"305219",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Osredci,Gračac
"305189",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Neteka,Gračac
"305146",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Kupirovo,Gračac
"305111",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Kaldrma,Gračac
"305090",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Dugopolje,Gračac
"305022",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Dabašnica,Gračac
"305006",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Brotnja,Gračac
"304972",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Begluci,Gračac
"300608",Knin,Šibensko-kninska županija,Šibenik,Šumarija Benkovac,Split,Parčić,Benkovac
"300381",Benkovac,Zadarska županija,Zadar,Šumarija Benkovac,Split,Bjelina,Benkovac
"311278",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Rudopolje,Gračac
"311197",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Mazin,Gračac
"311073",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Bruvno,Gračac
"305243",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Suvaja,Gračac
"330795",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Žedno,Split
"330787",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Vinišće,Split
"330779",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Trogir,Split
"330752",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Prapatnica,Split
"330744",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Okrug,Split
"330736",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Mitlo-Vinovac,Split
"330728",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Marina,Split
"330710",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Ljubitovica,Split
"330701",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Gornji Seget,Split
"330698",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Drvenik,Split
"330680",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Donji Seget,Split
"330671",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Bristivica,Split
"330663",Trogir,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Blizna,Split
"330213",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Sevid,Šibenik
"330191",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Rogoznica,Šibenik
"330183",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Račice,Šibenik
"330167",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Primošten,Šibenik
"329843",Split,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Srednje Selo,Split
"329827",Split,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Slatine,Split
"329762",Split,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Grohote,Split
"329754",Split,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Gornje Selo,Split
"329746",Split,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Donje Selo,Split
"329738",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Vučevica,Split
"313572",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Radošić,Split
"313556",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Prgomet,Split
"313530",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Labin,Split
"313513",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kaštel Štafilić,Split
"313505",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kaštel Sućurac,Split
"313491",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kaštel Stari,Split
"313483",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kaštel Novi,Split
"313475",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kaštel Lukšić,Split
"313467",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kaštel Kambelovac,Split
"313459",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kaštel Gomilica,Split
"301744",Supetar,Splitsko-dalmatinska županija,Split,Šumarija Brač,Split,Sutivan,Brač
"301639",Supetar,Splitsko-dalmatinska županija,Split,Šumarija Brač,Split,Mirce,Brač
"301540",Supetar,Splitsko-dalmatinska županija,Split,Šumarija Brač,Split,Bobovišće,Brač
