USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena
Buzet;Pazin;Kras;32e;Gradinje;267, 287, 288/3, 294/1, 294/10, 329/7, 329/8, 330/2, 337, 339, 344/2, 350, 351, 356/1, 359, 400/1, 402/13, 402/16, 431/4, 445/7, 445, 452/3, 487/3, 529/1, 530/2, 555/3, 559, 560, 561/1, 561/2, 567/3, 567/4, 568/2, 571/1, 586, 608, 617/1, 628, 629, 634, 636/2, 643/2, 644/1, 644/2, 652/2, 662/3, 685, 686, 698/3, 698/4, 7314/1, 7321, 7394, 7395, 7444, 7447, 448, 7457/1, 7457/2, 7357/3, 7465, 7469, 7506, 758/2, 5040/2, 8042/14, 8047/3, 8047/4, 8124/1, 8128/3, 8238, 8257/2, 8294, 8309, 8311/4, 8316, 8336, 8345/6, 8541/1, 8643/4, 8736/1, 8736/3, 8878/1, 8895/1, 8944, 9006, 9009, 9010/2, 9010/3, 9019, 9039, 9141, 9173/1, 9173/3, 9173/6, 9325/1, 9325/3, 9327/1, 9225/1, 9330/3, 9343/2, 9357/2, 9388/3, 9388/4, 9476/4, 9490, 9496/1, 9507/3, 9519, 3525, 3592, 9689/1, 9689/1, 9689/2, 9689/3, 9650/1;11.17;6;1;
Buzet;Pazin;Kras;32i;Gradinje;7798/9, 7798/10, 7811, 7813/2, 7813/6, 7813/7, 7813/81, 7950/4;0.97;7;1;
Buzet;Pazin;Kras;33e;Gradinje;30, 32/2, 34/1, 34/2, 36/2, 36/3, 51/1, 51/2, 110, 111/1, 111/2, 112/1, 204/7, 217/1, 230, 272/1, 274, 275/5, 275/6, 321/6, 321/7, 322/2, 355/2, 376, 377, 385/2, 394, 395, 397/1, 719/22, 720/1, 720/3, 720/6, 720/9, 721/1, 724/5, 724/10, 724/14, 724/25, 728/6, 874/3;6.72;7;1;
Buzet;Buzet;Kras;34d;Sovinjak;136, 144, 148, 152, 236, 268, 274, 286, 296, 298, 302, 304, 334, 446, 511, 656, 657, 726, 834, 1383/1, 1667, 1668/2, 1669/2, 2051, 2084, 4883, 4886, 4888, 4889, 4892, 4896, 4901, 4902, 4904, 5007, 5173, 5174, 5175, 5215, 5216, 5322, 5325, 5331, 5412, 5414, 5415, 6196, 9294, 6334, 6342, 6378, 6465, 6530, 6550, 6551, 6552, 6553, 6554, 6621, 6833, 6834, 6898, 7434, 7438, 7458, 7549, 7550, 7551/1, 7552, 7554, 7558, 7559, 7560, 7575, 7839, 7840/1, 7854, 7877/1, 7877/2, 7879, 7881, 7889, 7890, 7891, 7893, 7897, 7898, 7914, 7915;13.29;7;1;
Buzet;Buzet;Kras;35i;Sovinjak;1817, 1819, 1933, 2042;1.15;7;1;
Buzet;Buzet;Kras;35m;Sovinjak;127, 134, 268, 296, 298, 302, 304, 422, 446, 657, 834, 902;1.12;7;1;
Buzet;Buzet;Kras;36c;Senj;4066, 4072, 4073, 4135, 4141, 4166, 4172/2, 4192, 4198, 4199, 4262, 4264/2, 4264, 4272, 4286/1, 4287/1, 4311, 4313;2.92;7;1;
Buzet;Buzet;Kras;36e;Senj;4362/2, 4655/3, 4663, 4787/1, 4792/1, 4792, 4808/2, 5047;1.04;7;1;
Buzet;Buzet;Kras;37d;Vrh;85, 116/2, 1162, 163, 166, 167, 169, 171, 178/2, 181, 182, 257, 326, 365/1, 365/2, 371, 381, 384, 513, 537, 683, 713, 714/2, 840, 1552, 1553, 1629, 1662, 1756, 1777, 1790, 1818, 1819, 1826, 1880, 2209, 2249/3, 2271/2, 2272, 2310, 2315/2, 2318, 2322, 2344, 2345, 2571, 2692, 2693, 2898, 5037, 5050/3, 5060, 5063/2, 5064, 5065, 5250, 5486, 5494/2, 6313, 6314, 7053, 7250, 7302, 8842, 8895, 8908, 8968/2;10.61;7;1;Buzet
Buzet;Buzet;Kras;38c;Marčenigla;3362, 3601, 3636, 3898, 4132/1, 4316, 4341;2.19;7;1;
